subject_id	predicate_id	object_id
qk:MagneticFluxDensity	skos:exactMatch	ifc:IfcMagneticFluxDensityMeasure
qk:MagneticFlux	skos:exactMatch	ifc:IfcMagneticFluxMeasure
qk:Mass	skos:exactMatch	ifc:IfcMassMeasure
qk:PlaneAngle	skos:exactMatch	ifc:IfcPlaneAngleMeasure
qk:Power	skos:exactMatch	ifc:IfcPowerMeasure
qk:Pressure	skos:exactMatch	ifc:IfcPressureMeasure
qk:Activity	skos:exactMatch	ifc:IfcRadioActivityMeasure
qk:SolidAngle	skos:exactMatch	ifc:IfcSolidAngleMeasure
qk:ThermodynamicTemperature skos:exactMatch ifc:IfcThermodynamicTemperatureMeasure
qk:Time	skos:exactMatch	ifc:IfcTimeMeasure
qk:Volume	skos:exactMatch	ifc:IfcVolumeMeasure
qk:AngularVelocity	skos:exactMatch ifc:IfcAngularVelocityMeasure
qk:SurfaceDensity	skos:exactMatch	ifc:IfcAreaDensityMeasure
qk:PlaneAngle	skos:exactMatch	ifc:IfcCompoundPlaneAngleMeasure
qk:DynamicViscosity	skos:exactMatch	ifc:IfcDynamicViscosityMeasure
qk:HeatFluxDensity	skos:exactMatch	ifc:IfcHeatFluxDensityMeasure
qk:Frequency	skos:exactMatch	ifc:IfcIntegerCountRateMeasure
qk:KinematicViscosity	skos:exactMatch	ifc:IfcKinematicViscosityMeasure
qk:LinearVelocity	skos:exactMatch	ifc:IfcLinearVelocityMeasure
qk:MassDensity	skos:exactMatch	ifc:IfcMassDensityMeasure
qk:MassFlowRate	skos:exactMatch	ifc:IfcMassFlowRateMeasure
qk:MolarMass	skos:exactMatch	ifc:IfcMolecularWeightMeasure
qk:SpecificHeatCapacity	skos:exactMatch	ifc:IfcSpecificHeatCapacityMeasure
qk:ThermalConductance	skos:exactMatch	ifc:IfcThermalConductanceMeasure
qk:ThermalResistance	skos:exactMatch	ifc:IfcThermalResistanceMeasure
qk:VolumeFlowRate	skos:exactMatch	ifc:IfcVolumetricFlowRateMeasure
qk:AngularFrequency	skos:exactMatch	ifc:IfcRotationalFrequencyMeasure
qk:Torque	skos:exactMatch	ifc:IfcTorqueMeasure
qk:MomentOfInertia	skos:exactMatch	ifc:IfcMomentOfInertiaMeasure
qk:LinearMomentum	skos:exactMatch	ifc:IfcLinearMomentMeasure
qk:ModulusOfElasticity	skos:exactMatch	ifc:IfcModulusOfElasticityMeasure
qk:ShearModulus	skos:exactMatch	ifc:IfcShearModulusMeasure
qk:Acceleration	skos:exactMatch	ifc:IfcAccelerationMeasure
qk:Curvature	skos:exactMatch	ifc:IfcCurvatureMeasure
qk:MassPerLength	skos:exactMatch	ifc:IfcMassPerLengthMeasure
qk:RotationalMass	skos:exactMatch	ifc:IfcRotationalMassMeasure
qk:SectionModulus	skos:exactMatch	ifc:IfcSectionModulusMeasure
qk:SoundPowerLevel	skos:exactMatch	ifc:IfcSoundPowerLevelMeasure
qk:SoundPower	skos:exactMatch	ifc:IfcSoundPowerMeasure
qk:SoundPressureLevel	skos:exactMatch	ifc:IfcSoundPressureLevelMeasure
qk:SoundPressure	skos:exactMatch	ifc:IfcSoundPressureMeasure
qk:TemperatureRateOfChange	skos:exactMatch	ifc:IfcTemperatureRateOfChangeMeasure
qk:ThermalExpansionCoefficient	skos:exactMatch	ifc:IfcThermalExpansionCoefficientMeasure
qk:IsothermalMoistureCapacity	skos:exactMatch	ifc:IfcIsothermalMoistureCapacityMeasure
qk:MoistureDiffusivity	skos:exactMatch	ifc:IfcMoistureDiffusivityMeasure
qk:ThermalAdmittance	skos:exactMatch	ifc:IfcThermalAdmittanceMeasure
qk:ThermalTransmittance	skos:exactMatch	ifc:IfcThermalTransmittanceMeasure
qk:VaporPermeability	skos:exactMatch	ifc:IfcVaporPermeabilityMeasure
qk:LinearForce	skos:exactMatch	ifc:IfcLinearForceMeasure
qk:PlanarForce	skos:exactMatch	ifc:IfcPlanarForceMeasure
qk:LinearStiffness	skos:exactMatch	ifc:IfcLinearStiffnessMeasure
qk:RotationalStiffness	skos:exactMatch	ifc:IfcRotationalStiffnessMeasure
qk:ModulusOfSubgradeReaction	skos:exactMatch	ifc:IfcModulusOfSubgradeReactionMeasure
qk:HeatingValue	skos:exactMatch	ifc:IfcHeatingValueMeasure
qk:IonConcentration	skos:exactMatch	ifc:IfcIonConcentrationMeasure
qk:LuminousIntensityDistribution	skos:exactMatch	ifc:IfcLuminousIntensityDistributionMeasure
qk:ModulusOfLinearSubgradeReaction	skos:exactMatch	ifc:IfcModulusOfLinearSubgradeReactionMeasure
qk:ModulusOfRotationalSubgradeReaction	skos:exactMatch	ifc:IfcModulusOfRotationalSubgradeReactionMeasure
qk:PH	skos:exactMatch	ifc:IfcPHMeasure
qk:SectionAreaIntegral	skos:exactMatch	ifc:IfcSectionAreaIntegralMeasure
qk:TemperatureGradient	skos:exactMatch	ifc:IfcTemperatureGradientMeasure
qk:WarpingConstant	skos:exactMatch	ifc:IfcWarpingConstantMeasure
qk:WarpingMoment	skos:exactMatch	ifc:IfcWarpingMomentMeasure
